ID=Chr1;Name=Chr1
ID=AT1G01010;Note=protein_coding_gene;Name=AT1G01010
ID=AT1G01020;Note=protein_coding_gene;Name=AT1G01020
ID=AT1G01030;Note=protein_coding_gene;Name=AT1G01030
ID=AT1G01040;Note=protein_coding_gene;Name=AT1G01040
ID=AT1G01046;Note=miRNA;Name=AT1G01046
ID=AT1G01050;Note=protein_coding_gene;Name=AT1G01050
ID=AT1G01060;Note=protein_coding_gene;Name=AT1G01060
ID=AT1G01070;Note=protein_coding_gene;Name=AT1G01070
ID=AT1G01073;Note=protein_coding_gene;Name=AT1G01073
ID=AT1G01080;Note=protein_coding_gene;Name=AT1G01080
ID=AT1G01090;Note=protein_coding_gene;Name=AT1G01090
ID=AT1G01100;Note=protein_coding_gene;Name=AT1G01100
ID=AT1G01110;Note=protein_coding_gene;Name=AT1G01110
ID=AT1G01115;Note=protein_coding_gene;Name=AT1G01115
ID=AT1G01120;Note=protein_coding_gene;Name=AT1G01120
ID=AT1G01130;Note=protein_coding_gene;Name=AT1G01130
ID=AT1G01140;Note=protein_coding_gene;Name=AT1G01140
ID=AT1G01150;Note=protein_coding_gene;Name=AT1G01150
ID=AT1G01160;Note=protein_coding_gene;Name=AT1G01160
ID=AT1G01170;Note=protein_coding_gene;Name=AT1G01170
ID=AT1G01180;Note=protein_coding_gene;Name=AT1G01180
ID=AT1G01183;Note=miRNA;Name=AT1G01183
ID=AT1G01190;Note=protein_coding_gene;Name=AT1G01190
ID=AT1G01200;Note=protein_coding_gene;Name=AT1G01200
ID=AT1G01210;Note=protein_coding_gene;Name=AT1G01210
ID=AT1G01220;Note=protein_coding_gene;Name=AT1G01220
ID=AT1G01225;Note=protein_coding_gene;Name=AT1G01225
ID=AT1G01230;Note=protein_coding_gene;Name=AT1G01230
ID=AT1G01240;Note=protein_coding_gene;Name=AT1G01240
ID=AT1G01250;Note=protein_coding_gene;Name=AT1G01250
ID=AT1G01260;Note=protein_coding_gene;Name=AT1G01260
ID=AT1G01270;Note=tRNA;Name=AT1G01270
ID=AT1G01280;Note=protein_coding_gene;Name=AT1G01280
ID=AT1G01290;Note=protein_coding_gene;Name=AT1G01290
ID=AT1G01300;Note=protein_coding_gene;Name=AT1G01300
ID=AT1G01305;Note=protein_coding_gene;Name=AT1G01305
ID=AT1G01310;Note=protein_coding_gene;Name=AT1G01310
ID=AT1G01320;Note=protein_coding_gene;Name=AT1G01320
ID=AT1G01340;Note=protein_coding_gene;Name=AT1G01340
ID=AT1G01350;Note=protein_coding_gene;Name=AT1G01350
ID=AT1G01355;Note=protein_coding_gene;Name=AT1G01355
ID=AT1G01360;Note=protein_coding_gene;Name=AT1G01360
ID=AT1G01370;Note=protein_coding_gene;Name=AT1G01370
ID=AT1G01380;Note=protein_coding_gene;Name=AT1G01380
ID=AT1G01390;Note=protein_coding_gene;Name=AT1G01390
ID=AT1G01400;Note=protein_coding_gene;Name=AT1G01400
